OBJECTID,ZDIdentif,ZDTipo,RuleID,Override,Shape__Area,Shape__Length
1,25368000200401P1,1,1,,3.20157482747163e-08,0.000752060452859796
3,25368000200402P1,1,1,,5.21208676218521e-08,0.000960846496888397
4,25368000200403P1,1,1,,4.39074199221068e-08,0.000910093991627332
5,25368000200404P1,1,1,,1.28201236293535e-08,0.000981962969774691
6,25368000200405P1,3,1,,2.38611619352014e-09,0.000197576300208862
7,25368000200406P1,4,1,,1.23469590107561e-09,0.000157018685027313
8,25368000200407P1,1,1,,4.13349425798515e-08,0.00190457025171142
11,25368000200408P1,4,1,,9.91320803223061e-10,0.000154582716327596
12,25368000200409P1,4,1,,2.32321895055065e-09,0.000195182662825422
13,25368000200410P1,1,1,,2.25607266202132e-08,0.00120521644093857
16,25368000200411P1,3,1,,5.65015056963603e-09,0.00039133650539249
17,25368000200412P1,4,1,,1.02242267985275e-08,0.000532871425833167
18,25368000200413P1,4,1,,1.0159936891796e-08,0.000726713932013438
19,25368000200414P1,3,1,,2.54188421422441e-08,0.00131324094356986
21,25368000200415P1,4,1,,6.80762468618923e-09,0.000393468773903563
22,25368000200416P1,4,1,,3.37496430802275e-09,0.00127084889616497
23,25368000200417P1,4,1,,1.7790739548218e-08,0.00132484400739392
24,25368000200418P1,4,1,,3.99879240831069e-09,0.000314361542435737
25,25368000200419P1,4,1,,6.00428506913886e-09,0.000404321709971311
26,25368000200420P1,4,1,,1.57697854774597e-09,0.000174208090765271
27,25368000200421P1,4,1,,2.67391442321241e-10,7.40168796364985e-05
28,25368000200422P1,4,1,,9.32175225898391e-10,0.000163000495329107
29,25368000200423P1,4,1,,7.94102561485488e-10,0.000141778777195064
30,25368000200424P1,3,1,,4.13432701407146e-08,0.00190555200283706
31,25368000200425P1,1,1,,3.58377576503699e-08,0.00136920219652435
33,25368000200426P1,1,1,,6.40181951894192e-09,0.000700449565120262
35,25368000200427P1,1,1,,1.19542846732656e-08,0.000962180508355965
37,25368000200428P1,1,1,,1.16132241601008e-08,0.000824170416319176
